2022-06-01 12:37:02.311747729 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.33617209 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.359454137 +0000 UTC,us-east-2.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:02.366281086 +0000 UTC,us-east-1.console.aws.amazon.com,aws.amazon.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.893833855 +0000 UTC,support.content.office.net,office.net,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,Content Servers,TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.899071137 +0000 UTC,messaging.engagement.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.904008812 +0000 UTC,ocws.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Information Technology,Business",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.91803834 +0000 UTC,roaming.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.935192992 +0000 UTC,substrate.office.com,office.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
2022-06-01 12:37:05.960524056 +0000 UTC,roaming.officeapps.live.com,live.com,udp,,,A,NOERROR,,47.202.132.54,,,,,,,NYC,AvengersMSP - Cindy's Work Laptop,,,,Avengers Global Policy,32119,,,,,,"Business,Information Technology",TRUE,FALSE,Category,Avengers MSP,,,,,
